Table présente Supabase

| table_schema | table_name                  | column_name             | data_type                   | is_nullable | column_default                                  |
| public       | api_tokens                  | user_id                 | uuid                        | YES         | null                                            |
| public       | api_tokens                  | mama_id                 | uuid                        | NO          | null                                            |
| public       | api_tokens                  | label                   | text                        | YES         | null                                            |
| public       | api_tokens                  | token                   | text                        | NO          | null                                            |
| public       | api_tokens                  | scopes                  | ARRAY                       | YES         | null                                            |
| public       | api_tokens                  | actif                   | boolean                     | YES         | true                                            |
| public       | api_tokens                  | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | attachments                 | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | attachments                 | parent_table            | text                        | NO          | null                                            |
| public       | attachments                 | parent_id               | uuid                        | NO          | null                                            |
| public       | attachments                 | url                     | text                        | NO          | null                                            |
| public       | attachments                 | mime_type               | text                        | YES         | null                                            |
| public       | attachments                 | mama_id                 | uuid                        | NO          | null                                            |
| public       | attachments                 | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | audit_log                   | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | audit_log                   | table_name              | text                        | NO          | null                                            |
| public       | audit_log                   | action                  | text                        | NO          | null                                            |
| public       | audit_log                   | record_id               | uuid                        | YES         | null                                            |
| public       | audit_log                   | user_id                 | uuid                        | YES         | null                                            |
| public       | audit_log                   | mama_id                 | uuid                        | NO          | null                                            |
| public       | audit_log                   | data                    | jsonb                       | YES         | null                                            |
| public       | audit_log                   | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | audit_logs                  | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | audit_logs                  | mama_id                 | uuid                        | NO          | null                                            |
| public       | audit_logs                  | user_id                 | uuid                        | YES         | null                                            |
| public       | audit_logs                  | action                  | text                        | NO          | null                                            |
| public       | audit_logs                  | cible                   | text                        | YES         | null                                            |
| public       | audit_logs                  | description             | text                        | YES         | null                                            |
| public       | audit_logs                  | date_action             | timestamp with time zone    | YES         | now()                                           |
| public       | boissons                    | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | boissons                    | nom                     | character varying           | YES         | null                                            |
| public       | boissons                    | type                    | character varying           | YES         | null                                            |
| public       | boissons                    | ingredients             | jsonb                       | YES         | null                                            |
| public       | boissons                    | prix_vente              | numeric                     | YES         | null                                            |
| public       | boissons                    | user_id                 | uuid                        | YES         | null                                            |
| public       | boissons                    | mama_id                 | uuid                        | YES         | null                                            |
| public       | bon_de_commande_items       | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | bon_de_commande_items       | commande_id             | uuid                        | NO          | null                                            |
| public       | bon_de_commande_items       | product_id              | uuid                        | YES         | null                                            |
| public       | bon_de_commande_items       | quantite                | numeric                     | YES         | null                                            |
| public       | bon_de_commande_items       | mama_id                 | uuid                        | YES         | null                                            |
| public       | bon_de_commandes            | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | bon_de_commandes            | mama_id                 | uuid                        | NO          | null                                            |
| public       | bon_de_commandes            | supplier_id             | uuid                        | YES         | null                                            |
| public       | bon_de_commandes            | date_commande           | date                        | YES         | null                                            |
| public       | bon_de_commandes            | statut                  | text                        | YES         | null                                            |
| public       | bon_livraison               | id                      | integer                     | NO          | nextval('bon_livraison_id_seq'::regclass)       |
| public       | bon_livraison               | numero                  | text                        | NO          | null                                            |
| public       | bon_livraison               | date                    | date                        | NO          | null                                            |
| public       | bon_livraison               | facture_id              | integer                     | YES         | null                                            |
| public       | bon_livraison               | created_at              | timestamp without time zone | YES         | now()                                           |
| public       | bon_livraison               | fournisseur_id          | uuid                        | YES         | null                                            |
| public       | bon_livraison               | mama_id                 | uuid                        | YES         | null                                            |
| public       | categories                  | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | categories                  | nom                     | text                        | NO          | null                                            |
| public       | categories                  | description             | text                        | YES         | null                                            |
| public       | categories                  | mama_id                 | uuid                        | NO          | null                                            |
| public       | categories                  | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | categories                  | updated_at              | timestamp with time zone    | YES         | now()                                           |
| public       | categories                  | user_id                 | uuid                        | YES         | null                                            |
| public       | centres_de_cout             | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | centres_de_cout             | name                    | text                        | NO          | null                                            |
| public       | centres_de_cout             | mama_id                 | uuid                        | YES         | null                                            |
| public       | cost_boisson                | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | cost_boisson                | mama_id                 | uuid                        | NO          | null                                            |
| public       | cost_boisson                | periode                 | text                        | YES         | null                                            |
| public       | cost_boisson                | ca_boisson              | numeric                     | YES         | null                                            |
| public       | cost_boisson                | cout_boisson            | numeric                     | YES         | null                                            |
| public       | cost_centers                | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | cost_centers                | mama_id                 | uuid                        | NO          | null                                            |
| public       | cost_centers                | nom                     | text                        | NO          | null                                            |
| public       | cost_centers                | actif                   | boolean                     | YES         | true                                            |
| public       | cost_centers                | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | cost_stats                  | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | cost_stats                  | periode                 | text                        | YES         | null                                            |
| public       | cost_stats                  | food_cost               | numeric                     | YES         | null                                            |
| public       | cost_stats                  | boisson_cost            | numeric                     | YES         | null                                            |
| public       | cost_stats                  | mama_id                 | uuid                        | YES         | null                                            |
| public       | documents                   | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | documents                   | mama_id                 | uuid                        | NO          | null                                            |
| public       | documents                   | type                    | text                        | NO          | null                                            |
| public       | documents                   | chemin                  | text                        | NO          | null                                            |
| public       | documents                   | nom_fichier             | text                        | YES         | null                                            |
| public       | documents                   | commentaire             | text                        | YES         | null                                            |
| public       | documents                   | actif                   | boolean                     | YES         | true                                            |
| public       | documents                   | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | ecarts                      | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | ecarts                      | mama_id                 | uuid                        | NO          | null                                            |
| public       | ecarts                      | periode                 | text                        | YES         | null                                            |
| public       | ecarts                      | type                    | text                        | YES         | null                                            |
| public       | ecarts                      | valeur                  | numeric                     | YES         | null                                            |
| public       | facture_lignes              | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | facture_lignes              | mama_id                 | uuid                        | NO          | null                                            |
| public       | facture_lignes              | facture_id              | uuid                        | YES         | null                                            |
| public       | facture_lignes              | product_id              | uuid                        | YES         | null                                            |
| public       | facture_lignes              | quantite                | numeric                     | YES         | null                                            |
| public       | facture_lignes              | prix_unitaire           | numeric                     | YES         | null                                            |
| public       | facture_lignes              | total                   | numeric                     | YES         | null                                            |
| public       | facture_lignes              | actif                   | boolean                     | YES         | true                                            |
| public       | facture_lignes              | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | facture_lignes              | produit_id              | uuid                        | YES         | null                                            |
| public       | facture_lignes              | tva                     | numeric                     | YES         | 20                                              |
| public       | factures                    | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | factures                    | mama_id                 | uuid                        | NO          | null                                            |
| public       | factures                    | fournisseur_id          | uuid                        | YES         | null                                            |
| public       | factures                    | numero                  | text                        | YES         | null                                            |
| public       | factures                    | date                    | date                        | YES         | null                                            |
| public       | factures                    | statut                  | text                        | YES         | 'brouillon'::text                               |
| public       | factures                    | montant                 | numeric                     | YES         | 0                                               |
| public       | factures                    | actif                   | boolean                     | YES         | true                                            |
| public       | factures                    | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | factures                    | total_ht                | numeric                     | YES         | null                                            |
| public       | factures                    | total_tva               | numeric                     | YES         | null                                            |
| public       | factures                    | total_ttc               | numeric                     | YES         | null                                            |
| public       | familles                    | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | familles                    | mama_id                 | uuid                        | NO          | null                                            |
| public       | familles                    | nom                     | text                        | NO          | null                                            |
| public       | familles                    | actif                   | boolean                     | YES         | true                                            |
| public       | fiche_cout_history          | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | fiche_cout_history          | fiche_id                | uuid                        | YES         | null                                            |
| public       | fiche_cout_history          | mama_id                 | uuid                        | YES         | null                                            |
| public       | fiche_cout_history          | date_cout               | date                        | NO          | CURRENT_DATE                                    |
| public       | fiche_cout_history          | cout_total              | numeric                     | YES         | null                                            |
| public       | fiche_cout_history          | cout_portion            | numeric                     | YES         | null                                            |
| public       | fiche_cout_history          | updated_by              | uuid                        | YES         | null                                            |
| public       | fiche_cout_history          | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | fiche_items                 | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | fiche_items                 | fiche_id                | uuid                        | YES         | null                                            |
| public       | fiche_items                 | produit_id              | uuid                        | YES         | null                                            |
| public       | fiche_items                 | quantite                | numeric                     | YES         | null                                            |
| public       | fiche_items                 | mama_id                 | uuid                        | YES         | null                                            |
| public       | fiche_lignes                | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | fiche_lignes                | fiche_id                | uuid                        | YES         | null                                            |
| public       | fiche_lignes                | product_id              | uuid                        | YES         | null                                            |
| public       | fiche_lignes                | quantite                | numeric                     | NO          | null                                            |
| public       | fiche_lignes                | mama_id                 | uuid                        | NO          | null                                            |
| public       | fiche_lignes                | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | fiche_produits              | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | fiche_produits              | fiche_id                | uuid                        | YES         | null                                            |
| public       | fiche_produits              | produit_id              | uuid                        | YES         | null                                            |
| public       | fiche_produits              | quantite                | numeric                     | YES         | null                                            |
| public       | fiche_produits              | unite                   | text                        | YES         | null                                            |
| public       | fiche_produits              | mama_id                 | uuid                        | YES         | null                                            |
| public       | fiche_produits              | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | fiches                      | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | fiches                      | nom                     | text                        | YES         | null                                            |
| public       | fiches                      | type                    | text                        | YES         | null                                            |
| public       | fiches                      | categorie               | text                        | YES         | null                                            |
| public       | fiches                      | mama_id                 | uuid                        | YES         | null                                            |
| public       | fiches_ingredients          | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | fiches_ingredients          | fiche_id                | uuid                        | YES         | null                                            |
| public       | fiches_ingredients          | produit_id              | integer                     | YES         | null                                            |
| public       | fiches_ingredients          | sous_recette_id         | uuid                        | YES         | null                                            |
| public       | fiches_ingredients          | quantite_utilisee       | numeric                     | NO          | null                                            |
| public       | fiches_ingredients          | unite                   | text                        | YES         | null                                            |
| public       | fiches_ingredients          | type                    | text                        | NO          | null                                            |
| public       | fiches_ingredients          | created_at              | timestamp without time zone | YES         | now()                                           |
| public       | fiches_ingredients          | quantite                | numeric                     | YES         | null                                            |
| public       | fiches_ingredients          | mama_id                 | uuid                        | YES         | null                                            |
| public       | fiches_menu_jour            | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | fiches_menu_jour            | nom                     | character varying           | YES         | null                                            |
| public       | fiches_menu_jour            | type                    | character varying           | YES         | null                                            |
| public       | fiches_menu_jour            | ingredients             | jsonb                       | YES         | null                                            |
| public       | fiches_menu_jour            | prix_vente              | numeric                     | YES         | null                                            |
| public       | fiches_menu_jour            | user_id                 | uuid                        | YES         | null                                            |
| public       | fiches_menu_jour            | mama_id                 | uuid                        | YES         | null                                            |
| public       | fiches_techniques           | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | fiches_techniques           | nom                     | text                        | NO          | null                                            |
| public       | fiches_techniques           | portions                | numeric                     | NO          | 1                                               |
| public       | fiches_techniques           | prix_vente_ttc          | numeric                     | NO          | null                                            |
| public       | fiches_techniques           | tva                     | numeric                     | YES         | 5.5                                             |
| public       | fiches_techniques           | active                  | boolean                     | YES         | false                                           |
| public       | fiches_techniques           | created_at              | timestamp without time zone | YES         | now()                                           |
| public       | fiches_techniques           | type                    | text                        | YES         | 'plat'::text                                    |
| public       | fiches_techniques           | categorie               | text                        | YES         | null                                            |
| public       | fiches_techniques           | mama_id                 | uuid                        | YES         | null                                            |
| public       | fiches_techniques           | prix_vente              | numeric                     | YES         | null                                            |
| public       | fournisseur_contacts        | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | fournisseur_contacts        | fournisseur_id          | uuid                        | YES         | null                                            |
| public       | fournisseur_contacts        | nom                     | text                        | YES         | null                                            |
| public       | fournisseur_contacts        | email                   | text                        | YES         | null                                            |
| public       | fournisseur_contacts        | telephone               | text                        | YES         | null                                            |
| public       | fournisseur_contacts        | mama_id                 | uuid                        | YES         | null                                            |
| public       | fournisseur_notes           | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | fournisseur_notes           | fournisseur_id          | uuid                        | YES         | null                                            |
| public       | fournisseur_notes           | note                    | integer                     | YES         | null                                            |
| public       | fournisseur_notes           | created_at              | timestamp without time zone | YES         | now()                                           |
| public       | fournisseur_notes           | mama_id                 | uuid                        | YES         | null                                            |
| public       | fournisseurs                | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | fournisseurs                | mama_id                 | uuid                        | NO          | null                                            |
| public       | fournisseurs                | nom                     | text                        | NO          | null                                            |
| public       | fournisseurs                | ville                   | text                        | YES         | null                                            |
| public       | fournisseurs                | actif                   | boolean                     | YES         | true                                            |
| public       | fournisseurs                | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | fournisseurs_api_config     | fournisseur_id          | uuid                        | NO          | null                                            |
| public       | fournisseurs_api_config     | mama_id                 | uuid                        | NO          | null                                            |
| public       | fournisseurs_api_config     | url                     | text                        | YES         | null                                            |
| public       | fournisseurs_api_config     | type_api                | text                        | YES         | 'rest'::text                                    |
| public       | fournisseurs_api_config     | token                   | text                        | YES         | null                                            |
| public       | fournisseurs_api_config     | format_facture          | text                        | YES         | 'json'::text                                    |
| public       | fournisseurs_api_config     | actif                   | boolean                     | YES         | true                                            |
| public       | fournisseurs_api_config     | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | imports_fournisseurs        | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | imports_fournisseurs        | mama_id                 | uuid                        | NO          | null                                            |
| public       | imports_fournisseurs        | fournisseur_id          | uuid                        | YES         | null                                            |
| public       | imports_fournisseurs        | nom_fichier             | text                        | YES         | null                                            |
| public       | imports_fournisseurs        | type_fichier            | text                        | YES         | null                                            |
| public       | imports_fournisseurs        | contenu                 | jsonb                       | YES         | null                                            |
| public       | imports_fournisseurs        | statut                  | text                        | YES         | 'en_attente'::text                              |
| public       | imports_fournisseurs        | date_import             | timestamp with time zone    | YES         | now()                                           |
| public       | imports_fournisseurs        | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | imports_fournisseurs        | actif                   | boolean                     | YES         | true                                            |
| public       | imports_lignes              | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | imports_lignes              | import_id               | uuid                        | YES         | null                                            |
| public       | imports_lignes              | produit_nom             | text                        | YES         | null                                            |
| public       | imports_lignes              | quantite                | numeric                     | YES         | null                                            |
| public       | imports_lignes              | unite                   | text                        | YES         | null                                            |
| public       | imports_lignes              | prix_unitaire           | numeric                     | YES         | null                                            |
| public       | imports_lignes              | tva                     | numeric                     | YES         | null                                            |
| public       | imports_lignes              | ligne_complete          | jsonb                       | YES         | null                                            |
| public       | imports_lignes              | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | inventaire                  | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | inventaire                  | product_id              | uuid                        | YES         | null                                            |
| public       | inventaire                  | quantite                | numeric                     | YES         | null                                            |
| public       | inventaire                  | mama_id                 | uuid                        | YES         | null                                            |
| public       | inventaire_items            | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | inventaire_items            | inventaire_id           | uuid                        | NO          | null                                            |
| public       | inventaire_items            | product_id              | uuid                        | YES         | null                                            |
| public       | inventaire_items            | quantite                | numeric                     | YES         | null                                            |
| public       | inventaire_items            | mama_id                 | uuid                        | YES         | null                                            |
| public       | inventaire_lignes           | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | inventaire_lignes           | produit_id              | uuid                        | YES         | null                                            |
| public       | inventaire_lignes           | stock_final             | numeric                     | YES         | null                                            |
| public       | inventaire_lignes           | periode                 | text                        | YES         | null                                            |
| public       | inventaire_lignes           | zone                    | text                        | YES         | null                                            |
| public       | inventaire_lignes           | mama_id                 | uuid                        | YES         | null                                            |
| public       | inventaire_lignes           | created_at              | timestamp without time zone | YES         | now()                                           |
| public       | inventaire_zones            | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | inventaire_zones            | mama_id                 | uuid                        | NO          | null                                            |
| public       | inventaire_zones            | nom                     | text                        | NO          | null                                            |
| public       | inventaires                 | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | inventaires                 | date                    | date                        | YES         | null                                            |
| public       | inventaires                 | zone                    | text                        | YES         | null                                            |
| public       | inventaires                 | utilisateur             | text                        | YES         | null                                            |
| public       | inventaires                 | etat                    | text                        | YES         | null                                            |
| public       | inventaires                 | mama_id                 | uuid                        | YES         | null                                            |
| public       | inventaires                 | commentaire             | text                        | YES         | null                                            |
| public       | inventory_sheet_lines       | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | inventory_sheet_lines       | inventory_sheet_id      | uuid                        | NO          | null                                            |
| public       | inventory_sheet_lines       | product_id              | uuid                        | NO          | null                                            |
| public       | inventory_sheet_lines       | quantite_theorique      | numeric                     | YES         | null                                            |
| public       | inventory_sheet_lines       | quantite_reelle         | numeric                     | NO          | null                                            |
| public       | inventory_sheet_lines       | unite                   | text                        | YES         | null                                            |
| public       | inventory_sheet_lines       | ecart                   | numeric                     | YES         | null                                            |
| public       | inventory_sheet_lines       | valeur_ecart            | numeric                     | YES         | null                                            |
| public       | inventory_sheet_lines       | notes                   | text                        | YES         | null                                            |
| public       | inventory_sheet_lines       | mama_id                 | uuid                        | NO          | null                                            |
| public       | inventory_sheet_lines       | user_id                 | uuid                        | YES         | null                                            |
| public       | inventory_sheet_lines       | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | inventory_sheet_lines       | updated_at              | timestamp with time zone    | YES         | now()                                           |
| public       | inventory_sheets            | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | inventory_sheets            | date_inventaire         | date                        | NO          | CURRENT_DATE                                    |
| public       | inventory_sheets            | zone_id                 | uuid                        | YES         | null                                            |
| public       | inventory_sheets            | responsable_id          | uuid                        | YES         | null                                            |
| public       | inventory_sheets            | statut                  | text                        | YES         | 'en_cours'::text                                |
| public       | inventory_sheets            | notes                   | text                        | YES         | null                                            |
| public       | inventory_sheets            | type_inventaire         | text                        | YES         | 'complet'::text                                 |
| public       | inventory_sheets            | mama_id                 | uuid                        | NO          | null                                            |
| public       | inventory_sheets            | user_id                 | uuid                        | YES         | null                                            |
| public       | inventory_sheets            | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | inventory_sheets            | updated_at              | timestamp with time zone    | YES         | now()                                           |
| public       | invoice_comments            | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | invoice_comments            | invoice_id              | uuid                        | YES         | null                                            |
| public       | invoice_comments            | user_id                 | uuid                        | YES         | null                                            |
| public       | invoice_comments            | mama_id                 | uuid                        | YES         | null                                            |
| public       | invoice_comments            | comment                 | text                        | YES         | null                                            |
| public       | invoice_comments            | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | invoice_items               | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | invoice_items               | invoice_id              | uuid                        | NO          | null                                            |
| public       | invoice_items               | product_id              | uuid                        | YES         | null                                            |
| public       | invoice_items               | quantite                | numeric                     | YES         | null                                            |
| public       | invoice_items               | prix_unitaire           | numeric                     | YES         | null                                            |
| public       | invoice_items               | mama_id                 | uuid                        | YES         | null                                            |
| public       | invoice_lines               | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | invoice_lines               | invoice_id              | uuid                        | NO          | null                                            |
| public       | invoice_lines               | product_id              | uuid                        | YES         | null                                            |
| public       | invoice_lines               | description             | text                        | YES         | null                                            |
| public       | invoice_lines               | quantite                | numeric                     | NO          | null                                            |
| public       | invoice_lines               | prix_unitaire_ht        | numeric                     | NO          | null                                            |
| public       | invoice_lines               | total_ht                | numeric                     | YES         | null                                            |
| public       | invoice_lines               | taux_tva                | numeric                     | YES         | null                                            |
| public       | invoice_lines               | montant_tva             | numeric                     | YES         | null                                            |
| public       | invoice_lines               | total_ttc               | numeric                     | YES         | null                                            |
| public       | invoice_lines               | mama_id                 | uuid                        | NO          | null                                            |
| public       | invoice_lines               | user_id                 | uuid                        | YES         | null                                            |
| public       | invoice_lines               | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | invoice_lines               | updated_at              | timestamp with time zone    | YES         | now()                                           |
| public       | invoices                    | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | invoices                    | numero_facture          | text                        | NO          | null                                            |
| public       | invoices                    | supplier_id             | uuid                        | YES         | null                                            |
| public       | invoices                    | date_facture            | date                        | NO          | null                                            |
| public       | invoices                    | date_reception          | date                        | YES         | null                                            |
| public       | invoices                    | montant_ht              | numeric                     | YES         | null                                            |
| public       | invoices                    | montant_tva             | numeric                     | YES         | null                                            |
| public       | invoices                    | montant_ttc             | numeric                     | YES         | null                                            |
| public       | invoices                    | statut                  | text                        | YES         | 'non payée'::text                               |
| public       | invoices                    | notes                   | text                        | YES         | null                                            |
| public       | invoices                    | fichier_url             | text                        | YES         | null                                            |
| public       | invoices                    | mama_id                 | uuid                        | NO          | null                                            |
| public       | invoices                    | user_id                 | uuid                        | YES         | null                                            |
| public       | invoices                    | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | invoices                    | updated_at              | timestamp with time zone    | YES         | now()                                           |
| public       | lignes_factures             | id                      | integer                     | NO          | nextval('lignes_factures_id_seq'::regclass)     |
| public       | lignes_factures             | facture_id              | integer                     | YES         | null                                            |
| public       | lignes_factures             | produit_id              | integer                     | YES         | null                                            |
| public       | lignes_factures             | quantite                | numeric                     | NO          | null                                            |
| public       | lignes_factures             | prix_unitaire           | numeric                     | YES         | null                                            |
| public       | lignes_factures             | total                   | numeric                     | YES         | null                                            |
| public       | lignes_factures             | created_at              | timestamp without time zone | YES         | now()                                           |
| public       | lignes_factures             | mama_id                 | uuid                        | YES         | null                                            |
| public       | lignes_requisitions         | id                      | integer                     | NO          | nextval('lignes_requisitions_id_seq'::regclass) |
| public       | lignes_requisitions         | requisition_id          | integer                     | YES         | null                                            |
| public       | lignes_requisitions         | produit_id              | integer                     | YES         | null                                            |
| public       | lignes_requisitions         | quantite                | numeric                     | NO          | null                                            |
| public       | lignes_requisitions         | zone                    | text                        | YES         | null                                            |
| public       | lignes_requisitions         | created_at              | timestamp without time zone | YES         | now()                                           |
| public       | lignes_requisitions         | mama_id                 | uuid                        | YES         | null                                            |
| public       | livraison_items             | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | livraison_items             | livraison_id            | uuid                        | NO          | null                                            |
| public       | livraison_items             | product_id              | uuid                        | YES         | null                                            |
| public       | livraison_items             | quantite                | numeric                     | YES         | null                                            |
| public       | livraison_items             | mama_id                 | uuid                        | YES         | null                                            |
| public       | livraisons                  | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | livraisons                  | mama_id                 | uuid                        | NO          | null                                            |
| public       | livraisons                  | supplier_id             | uuid                        | YES         | null                                            |
| public       | livraisons                  | date                    | date                        | YES         | null                                            |
| public       | livraisons                  | reference               | text                        | YES         | null                                            |
| public       | logs                        | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | logs                        | user_email              | character varying           | YES         | null                                            |
| public       | logs                        | action                  | character varying           | YES         | null                                            |
| public       | logs                        | module                  | character varying           | YES         | null                                            |
| public       | logs                        | timestamp               | timestamp without time zone | YES         | now()                                           |
| public       | logs                        | mama_id                 | uuid                        | YES         | null                                            |
| public       | mamas                       | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | mamas                       | nom                     | text                        | NO          | null                                            |
| public       | mamas                       | actif                   | boolean                     | YES         | true                                            |
| public       | mamas                       | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | menu_fiches                 | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | menu_fiches                 | menu_id                 | uuid                        | YES         | null                                            |
| public       | menu_fiches                 | fiche_id                | uuid                        | YES         | null                                            |
| public       | menu_fiches                 | mama_id                 | uuid                        | YES         | null                                            |
| public       | menu_items                  | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | menu_items                  | menu_id                 | uuid                        | YES         | null                                            |
| public       | menu_items                  | recipe_id               | uuid                        | YES         | null                                            |
| public       | menu_items                  | mama_id                 | uuid                        | YES         | null                                            |
| public       | menu_items                  | created_at              | timestamp without time zone | YES         | now()                                           |
