Foreign Key présente Supabase

| constraint_name                                     | source_table                | source_column       | target_table         | target_column |
| technical_sheet_ingredients_technical_sheet_id_fkey | technical_sheet_ingredients | technical_sheet_id  | technical_sheets     | id            |
| fk_technical_sheet_ingredients_technical_sheet_id   | technical_sheet_ingredients | technical_sheet_id  | technical_sheets     | id            |
| fk_requisitions_zone_destination_id                 | requisitions                | zone_destination_id | zones                | id            |
| requisitions_zone_destination_id_fkey               | requisitions                | zone_destination_id | zones                | id            |
| fk_requisitions_zone_source_id                      | requisitions                | zone_source_id      | zones                | id            |
| requisitions_zone_source_id_fkey                    | requisitions                | zone_source_id      | zones                | id            |
| requisition_lines_requisition_id_fkey               | requisition_lines           | requisition_id      | requisitions         | id            |
| fk_requisition_lines_requisition_id                 | requisition_lines           | requisition_id      | requisitions         | id            |
| inventory_sheets_zone_id_fkey                       | inventory_sheets            | zone_id             | zones                | id            |
| fk_inventory_sheets_zone_id                         | inventory_sheets            | zone_id             | zones                | id            |
| inventory_sheet_lines_inventory_sheet_id_fkey       | inventory_sheet_lines       | inventory_sheet_id  | inventory_sheets     | id            |
| fk_inventory_sheet_lines_inventory_sheet_id         | inventory_sheet_lines       | inventory_sheet_id  | inventory_sheets     | id            |
| tasks_parent_task_id_fkey                           | tasks                       | parent_task_id      | tasks                | id            |
| fk_tasks_parent_task_id                             | tasks                       | parent_task_id      | tasks                | id            |
| fiche_lignes_fiche_id_fkey                          | fiche_lignes                | fiche_id            | fiches               | id            |
| fk_fiche_lignes_fiche_id                            | fiche_lignes                | fiche_id            | fiches               | id            |
| mouvement_cost_centers_cost_center_id_fkey          | mouvement_cost_centers      | cost_center_id      | cost_centers         | id            |
| fk_mouvement_cost_centers_cost_center_id            | mouvement_cost_centers      | cost_center_id      | cost_centers         | id            |
| fk_mouvement_cost_centers_mouvement_id              | mouvement_cost_centers      | mouvement_id        | mouvements_stock     | id            |
| mouvement_cost_centers_mouvement_id_fkey            | mouvement_cost_centers      | mouvement_id        | mouvements_stock     | id            |
| fk_achats_supplier_product_id                       | achats                      | supplier_product_id | supplier_products    | id            |
| achats_supplier_product_id_fkey                     | achats                      | supplier_product_id | supplier_products    | id            |
| roles_mama_id_fkey                                  | roles                       | mama_id             | mamas                | id            |
| fk_roles_mama_id                                    | roles                       | mama_id             | mamas                | id            |
| fk_users_mama_id                                    | users                       | mama_id             | mamas                | id            |
| users_mama_id_fkey                                  | users                       | mama_id             | mamas                | id            |
| fk_familles_mama_id                                 | familles                    | mama_id             | mamas                | id            |
| familles_mama_id_fkey                               | familles                    | mama_id             | mamas                | id            |
| fk_unites_mama_id                                   | unites                      | mama_id             | mamas                | id            |
| unites_mama_id_fkey                                 | unites                      | mama_id             | mamas                | id            |
| fournisseurs_mama_id_fkey                           | fournisseurs                | mama_id             | mamas                | id            |
| fk_fournisseurs_mama_id                             | fournisseurs                | mama_id             | mamas                | id            |
| fk_products_main_supplier_id                        | products                    | main_supplier_id    | fournisseurs         | id            |
| products_main_supplier_id_fkey                      | products                    | main_supplier_id    | fournisseurs         | id            |
| products_mama_id_fkey                               | products                    | mama_id             | mamas                | id            |
| fk_products_mama_id                                 | products                    | mama_id             | mamas                | id            |
| technical_sheet_lignes_fiche_id_fkey                | technical_sheet_lignes      | fiche_id            | technical_sheets     | id            |
| fk_technical_sheet_lignes_fiche_id                  | technical_sheet_lignes      | fiche_id            | technical_sheets     | id            |
| technical_sheet_lignes_mama_id_fkey                 | technical_sheet_lignes      | mama_id             | mamas                | id            |
| fk_technical_sheet_lignes_mama_id                   | technical_sheet_lignes      | mama_id             | mamas                | id            |
| technical_sheet_lignes_product_id_fkey              | technical_sheet_lignes      | product_id          | products             | id            |
| fk_technical_sheet_lignes_product_id                | technical_sheet_lignes      | product_id          | products             | id            |
| fk_types_mouvements_mama_id                         | types_mouvements            | mama_id             | mamas                | id            |
| types_mouvements_mama_id_fkey                       | types_mouvements            | mama_id             | mamas                | id            |
| fk_taches_mama_id                                   | taches                      | mama_id             | mamas                | id            |
| taches_mama_id_fkey                                 | taches                      | mama_id             | mamas                | id            |
| tache_assignations_mama_id_fkey                     | tache_assignations          | mama_id             | mamas                | id            |
| fk_tache_assignations_mama_id                       | tache_assignations          | mama_id             | mamas                | id            |
| fk_tache_assignations_tache_id                      | tache_assignations          | tache_id            | taches               | id            |
| tache_assignations_tache_id_fkey                    | tache_assignations          | tache_id            | taches               | id            |
| tache_assignations_user_id_fkey                     | tache_assignations          | user_id             | users                | id            |
| fk_tache_assignations_user_id                       | tache_assignations          | user_id             | users                | id            |
| fk_factures_fournisseur_id                          | factures                    | fournisseur_id      | fournisseurs         | id            |
| factures_fournisseur_id_fkey                        | factures                    | fournisseur_id      | fournisseurs         | id            |
| fk_factures_mama_id                                 | factures                    | mama_id             | mamas                | id            |
| factures_mama_id_fkey                               | factures                    | mama_id             | mamas                | id            |
| facture_lignes_facture_id_fkey                      | facture_lignes              | facture_id          | factures             | id            |
| fk_facture_lignes_facture_id                        | facture_lignes              | facture_id          | factures             | id            |
| fk_facture_lignes_mama_id                           | facture_lignes              | mama_id             | mamas                | id            |
| facture_lignes_mama_id_fkey                         | facture_lignes              | mama_id             | mamas                | id            |
| fk_facture_lignes_product_id                        | facture_lignes              | product_id          | products             | id            |
| facture_lignes_product_id_fkey                      | facture_lignes              | product_id          | products             | id            |
| fk_facture_lignes_produit                           | facture_lignes              | produit_id          | products             | id            |
| alertes_mama_id_fkey                                | alertes                     | mama_id             | mamas                | id            |
| fk_alertes_mama_id                                  | alertes                     | mama_id             | mamas                | id            |
| fk_promotions_mama_id                               | promotions                  | mama_id             | mamas                | id            |
| promotions_mama_id_fkey                             | promotions                  | mama_id             | mamas                | id            |
| documents_mama_id_fkey                              | documents                   | mama_id             | mamas                | id            |
| fk_documents_mama_id                                | documents                   | mama_id             | mamas                | id            |
| audit_logs_mama_id_fkey                             | audit_logs                  | mama_id             | mamas                | id            |
| fk_audit_logs_mama_id                               | audit_logs                  | mama_id             | mamas                | id            |
| aide_modules_mama_id_fkey                           | aide_modules                | mama_id             | mamas                | id            |
| fk_aide_modules_mama_id                             | aide_modules                | mama_id             | mamas                | id            |
| fk_onboarding_user_id                               | onboarding                  | user_id             | users                | id            |
| onboarding_user_id_fkey                             | onboarding                  | user_id             | users                | id            |
| imports_fournisseurs_fournisseur_id_fkey            | imports_fournisseurs        | fournisseur_id      | fournisseurs         | id            |
| fk_imports_fournisseurs_fournisseur_id              | imports_fournisseurs        | fournisseur_id      | fournisseurs         | id            |
| fk_imports_fournisseurs_mama_id                     | imports_fournisseurs        | mama_id             | mamas                | id            |
| imports_fournisseurs_mama_id_fkey                   | imports_fournisseurs        | mama_id             | mamas                | id            |
| imports_lignes_import_id_fkey                       | imports_lignes              | import_id           | imports_fournisseurs | id            |
| fk_imports_lignes_import_id                         | imports_lignes              | import_id           | imports_fournisseurs | id            |
| api_tokens_mama_id_fkey                             | api_tokens                  | mama_id             | mamas                | id            |
| fk_api_tokens_mama_id                               | api_tokens                  | mama_id             | mamas                | id            |
| fk_api_tokens_user_id                               | api_tokens                  | user_id             | users                | id            |
| api_tokens_user_id_fkey                             | api_tokens                  | user_id             | users                | id            |
| fk_api_logs_token_id                                | api_logs                    | token_id            | api_tokens           | id            |
| api_logs_token_id_fkey                              | api_logs                    | token_id            | api_tokens           | id            |
| utilisateurs_mama_id_fkey                           | utilisateurs                | mama_id             | mamas                | id            |
| fk_utilisateurs_mama_id                             | utilisateurs                | mama_id             | mamas                | id            |
| two_factor_auth_id_fkey                             | two_factor_auth             | id                  | auth.users           | id            |
| mouvements_inventaire_id_fkey                       | mouvements                  | inventaire_id       | inventaires          | id            |
| mouvements_mama_id_fkey                             | mouvements                  | mama_id             | mamas                | id            |
| mouvements_produit_id_fkey                          | mouvements                  | produit_id          | products             | id            |
| fournisseurs_api_config_fournisseur_id_fkey         | fournisseurs_api_config     | fournisseur_id      | fournisseurs         | id            |
| fournisseurs_api_config_mama_id_fkey                | fournisseurs_api_config     | mama_id             | mamas                | id            |
